gvkey,datadate,fyear,indfmt,tic,conm,curcd,at,ci,emp,lt,txpd,xopr,costat,mkvalt,prcc_f,city,state
13428,20161231,2016,INDL,BRK2,MIDAMERICAN FUNDING LLC,USD,16747,535,3.3,10661,-609,1586,A,,,Des Moines,IA
13440,20161231,2016,INDL,LVLT,LEVEL 3 COMMUNICATIONS INC,USD,24888,591,12.6,13971,35,5494,A,20290.8399,56.36,Broomfield,CO
13453,20161231,2016,INDL,OPY,OPPENHEIMER HOLDINGS INC,USD,2236.93,0.711,3.098,1723.596,-5.009,852.16,A,248.5146,18.6,New York,NY
13453,20161231,2016,FS,OPY,OPPENHEIMER HOLDINGS INC,USD,2236.93,,3.098,1723.596,,,A,248.5146,18.6,New York,NY
13480,20161231,2016,INDL,EBIX,EBIX INC,USD,803.755,90.895,2.988,365.119,16.634,187.495,A,1830.9057,57.05,Johns Creek,GA
13498,20161130,2016,INDL,CCL,CARNIVAL CORP/PLC (USA),USD,38936,2066,97.2,16339,48,11578,A,37323.66,51.41,Miami,
13510,20161231,2016,INDL,DRE,DUKE REALTY CORP,USD,6772.002,314.154,0.5,3278.709,0.6,694.444,A,9422.3194,26.56,Indianapolis,IN
13510,20161231,2016,FS,DRE,DUKE REALTY CORP,USD,6772.002,,0.5,3278.709,,,A,9422.3194,26.56,Indianapolis,IN
13526,20161231,2016,INDL,BPL,BUCKEYE PARTNERS LP,USD,9421.103,620.923,1.865,4722.68,0.812,2260.375,A,9279.8662,66.16,Houston,TX
13540,20161231,2016,INDL,WWAV,WHITEWAVE FOODS CO,USD,4468.888,184.479,5.8,3038.192,97.247,3620.265,A,9855.1556,55.6,Denver,CO
13561,20161231,2016,INDL,MBI,MBIA INC,USD,11137,-405,0.164,7898,5,411,A,1446.6507,10.7,Purchase,NY
13561,20161231,2016,FS,MBI,MBIA INC,USD,11137,,0.164,7898,,,A,1446.6507,10.7,Purchase,NY
13562,20161231,2016,INDL,BDN,BRANDYWINE REALTY TRUST,USD,4099.213,43.976,0.363,2215.776,0,466.237,A,2876.7189,16.51,Radnor,PA
13562,20161231,2016,FS,BDN,BRANDYWINE REALTY TRUST,USD,4099.213,,0.363,2215.776,,,A,2876.7189,16.51,Radnor,PA
13570,20161231,2016,INDL,MIDD,MIDDLEBY CORP,USD,2917.136,76.305,8.026,1651.818,89,1755.003,A,7411.7274,128.81,Elgin,IL
13579,20161231,2016,INDL,EQC,EQUITY COMMONWEALTH,USD,4526.075,236.373,0.058,1265.628,0.327,440.245,A,3749.5786,30.24,Chicago,IL
13579,20161231,2016,FS,EQC,EQUITY COMMONWEALTH,USD,4526.075,,0.058,1265.628,,,A,3749.5786,30.24,Chicago,IL
13580,20161231,2016,INDL,UHT,UNIVERSAL HEALTH RLTY INCOME,USD,524.75,17.414,0,333.473,0,44.967,A,891.9584,65.59,King Of Prussia,PA
13580,20161231,2016,FS,UHT,UNIVERSAL HEALTH RLTY INCOME,USD,524.75,,0,333.473,,,A,891.9584,65.59,King Of Prussia,PA
13582,20161231,2016,INDL,CPSH,CPS TECHNOLOGIES CORP,USD,12.038,,,1.287,,16.532,A,24.6896,1.87,Norton,MA
13599,20161231,2016,INDL,CELG,CELGENE CORP,USD,28085.6,1650.6,7.132,21486.3,373,6346.6,A,90122.95,115.75,Summit,NJ
13623,20161231,2016,INDL,CNMD,CONMED CORP,USD,1328.983,10.032,3.3,748.407,9.588,652.171,A,1229.1628,44.17,Utica,NY
13646,20170131,2016,INDL,TIF,TIFFANY & CO,USD,5097.6,468,11.9,2069.2,213.9,3036.7,A,9800.64,78.72,New York,NY
13649,20160930,2016,INDL,NHLD,NATIONAL HOLDINGS CORP,USD,60.546,-5.559,0.32,34.773,0.104,170.069,A,40.2991,3.24,New York,NY
13655,20161231,2016,INDL,QEH,ADVISORSHARES QAM EQUITY HDG,USD,,,,,,,A,,27.8603,Bethesda,MD
13657,20161231,2016,INDL,AIQ,ALLIANCE HEALTHCARE SVCS INC,USD,659.864,17.999,,669.367,-3.852,381.341,A,103.0944,9.6,Newport Beach,CA
13664,20161231,2016,INDL,LVNTA,LIBERTY VENTURES,USD,5998,,,4096,,447,A,3149.8186,36.87,Englewood,CO
13679,20160630,2016,INDL,ARCW,ARC GROUP WORLDWIDE INC,USD,121.798,-2.154,0.56,77.255,0.599,92.085,A,43.2308,2.3,Deland,FL
