"id","date","year","industry_format","ticker","name","currency","total_assets","income","employee","total_liabilities","income_tax_paid","operating_expenses","status","market_value","price","city","abbreviation"
"2005","20161231","2016","INDL","BOH","BANK OF HAWAII CORP","USD","16492.367","171.112","2.122","15330.83","57.005","297.051","A","3781.3868","88.69","Honolulu","HI"
"2019","20161231","2016","INDL","BK","BANK OF NEW YORK MELLON CORP","USD","333469","2352","52","293889","703","6994","A","49629.9814","47.38","New York","NY"
"2044","20161231","2016","INDL","BCR","BARD (C.R.) INC","USD","5306.1","503.9","16.3","3631","169.2","2545","A","16377.4893","224.66","Murray Hill","NJ"
"2049","20161231","2016","INDL","B","BARNES GROUP INC","USD","2137.539","78.025","5.036","969.181","40.842","951.144","A","2551.2908","47.42","Bristol","CT"
"2052","20160930","2016","INDL","BRN","BARNWELL INDUSTRIES","USD","31.568","-4.662","0.034","17.824","-0.219","17.801","A","13.6571","1.65","Honolulu","HI"
"2055","20161231","2016","INDL","ABX","BARRICK GOLD CORP","USD","25264","1049","18.18","14951","487","4048","A","18625.8725","15.98","Toronto","ON"
"2080","20161130","2016","INDL","BSET","BASSETT FURNITURE INDS","USD","278.267","15.954","2.487","97.562","9.949","392.555","A","311.5032","29.05","Bassett","VA"
"2086","20161231","2016","INDL","BAX","BAXTER INTERNATIONAL INC","USD","15546","185","48","7266","500","8148","A","23926.0857","44.34","Deerfield","IL"
"2101","20160630","2016","INDL","AIT","APPLIED INDUSTRIAL TECH INC","USD","1312.529","4.202","5.569","654.613","54.749","2315.487","A","1763.033","45.14","Cleveland","OH"
"2111","20160930","2016","INDL","BDX","BECTON DICKINSON  and  CO","USD","25586","786","50.928","17953","218","9300","A","38334.7914","179.73","Franklin Lakes","NJ"
"2124","20161231","2016","INDL","BELFB","BEL FUSE INC","USD","426.74","-74.255","7.694","268.306","2.459","454.082","A","359.4761","30.9","Jersey City","NJ"
"2136","20161231","2016","INDL","VZ","VERIZON COMMUNICATIONS INC","USD","244180","15731","160.9","220148","9577","84000","A","217613.3919","53.38","New York City","NY"
"2137","20161231","2016","INDL","BCE","BCE INC","CAD","50108","2821","48.09","32254","565","13012","A","50527.0692","58.03","Verdun","QC"
"2154","20161231","2016","INDL","BMS","BEMIS CO INC","USD","3715.7","298.3","17.678","2456","93.1","3414.8","A","4432.914","47.82","Neenah","WI"
"2176","20161231","2016","INDL","BRK.B","BERKSHIRE HATHAWAY","USD","620854","27681","367.671","334495","4719","178353","A","401623.8397","162.98","Omaha","NE"
"2184","20170131","2016","INDL","BBY","BEST BUY CO INC","USD","13856","1236","125","9147","628","37016","A","13850.5282","44.52","Richfield","MN"
"2220","20161231","2016","INDL","BIO","BIO-RAD LABORATORIES INC","USD","3850.504","63.753","8.25","1263.745","38.442","1797.676","A","5395.7526","182.28","Hercules","CA"
"2240","20160731","2016","INDL","NIMU","NON INVASIVE MONITOR","USD","0.242","-0.741","0","2.987","0","0.594","A","10.2709","0.13","Miami","FL"
"2259","20161231","2016","INDL","BKH","BLACK HILLS CORP","USD","6515.444","56.803","2.834","4781.015","1.156","1008.688","A","3274.4519","61.34","Rapid City","SD"
"2285","20161231","2016","INDL","BA","BOEING CO","USD","89997","4020","150.5","89120","1460","84843","A","96078.2234","155.68","Chicago","IL"
"2312","20161231","2016","INDL","RHI","ROBERT HALF INTL INC","USD","1777.971","333.181","231.4","691.372","219.415","4623.862","A","6233.9377","48.78","Menlo Park","CA"
"2342","20160630","2016","INDL","BWL.A","BOWL AMERICA INC  -CL A","USD","31.851","2.685","0.5","5.702","0.934","20.074","A","73.8023","14.3","Springfield","VA"
"2352","20160731","2016","INDL","BRC","BRADY CORP","USD","1043.964","70.399","6.5","440.366","28.497","970.316","A","1621.7844","32.14","Milwaukee","WI"
"2390","20161031","2016","INDL","BRID","BRIDGFORD FOODS CORP","USD","87.254","3.304","0.508","48.345","4.267","126.184","A","103.4664","11.4","Anaheim","CA"
"2393","20160630","2016","INDL","BGG","BRIGGS  and  STRATTON","USD","1456.667","-32.779","5.445","963.041","5.98","1669.754","A","914.5312","21.18","Wauwatosa","WI"
"2403","20161231","2016","INDL","BMY","BRISTOL-MYERS SQUIBB CO","USD","33707","4472","25","17360","2041","14054","A","97711.68","58.44","New York","NY"
"2408","20161231","2016","INDL","TU","TELUS CORP","CAD","27729","1221","51.25","19793","600","8097","A","25222.5","42.75","Vancouver","BC"
"2436","20170131","2016","INDL","CAL","CALERES INC","USD","1475.273","41.469","12","860.787","16.9","2386.097","A","1321.1123","30.75","St. Louis","MO"
"2444","20161231","2016","INDL","BC","BRUNSWICK CORP","USD","3284.7","315.5","14.415","1844.6","32.6","3904.9","A","4871.3492","54.54","Lake Forest","IL"
"2448","20161231","2016","INDL","MTRN","MATERION CORP","USD","741.298","20.264","2.55","247.209","3","887.105","A","789.9408","39.6","Mayfield Heights","OH"
"2497","20161231","2016","INDL","MTZ","MASTEC INC","USD","3183.132","140.572","15.4","2079.498","59.342","4691.258","A","3157.1933","38.25","Coral Gables","FL"
"2504","20161231","2016","INDL","UIS","UNISYS CORP","USD","2021.6","-282.7","21","3669","46.4","2587.3","A","748.995","14.95","Blue Bell","PA"
"2538","20161231","2016","INDL","CDI","CDI CORP","USD","289.292","-26.981","6.3","100.316","-4.118","868.579","A","138.1802","7.4","Philadelphia","PA"
"2547","20161231","2016","INDL","CI","CIGNA CORP","USD","59360","1735","41","45575","1064","35498","A","34263.7559","133.39","Bloomfield","CT"
"2558","20161231","2016","INDL","CNA","CNA FINANCIAL CORP","USD","55233","1001","6.7","43264","170","7993","A","11225.584","41.5","Chicago","IL"
"2573","20160930","2016","INDL","CSPI","CSP INC","USD","48.707","-0.942","0.185","31.052","0.334","99.267","A","39.0888","10.23","Lowell","MA"
"2574","20161231","2016","INDL","CSX","CSX CORP","USD","35414","1739","26.628","23720","580","6379","A","33349.5074","35.93","Jacksonville","FL"
"2577","20161231","2016","INDL","CTS","CTS CORP","USD","517.697","40.191","2.796","199.815","10.471","322.119","A","733.8688","22.4","Lisle","IL"
"2593","20160930","2016","INDL","CBT","CABOT CORP","USD","3044","133","4.3","1646","66","1953","A","3260.4785","52.41","Boston","MA"
"2596","20160630","2016","INDL","CACI","CACI INTL INC  -CL A","USD","3987.341","116.676","19.9","2380.028","54.97","3400.551","A","2199.0424","90.41","Arlington","VA"
"2628","20161231","2016","INDL","CWT","CALIFORNIA WATER SERVICE GP","USD","2411.745","48.675","1.163","1752.274","0","444.773","A","1626.0135","33.9","San Jose","CA"
"2663","20160731","2016","INDL","CPB","CAMPBELL SOUP CO","USD","7837","630","16.5","6304","325","6504","A","19179.16","62.27","Camden","NJ"
"2675","20161231","2016","INDL","MLFNF","MAPLE LEAF FOODS INC","CAD","2632.621","229.978","11.231","544.598","4.944","2954.079","A","3714.2302","28.12","Mississauga","ON"
"2696","20161231","2016","INDL","CNI","CANADIAN NATIONAL RAILWAY CO","CAD","37057","3049","22.249","22216","653","5525","A","68854.32","90.36","Montreal","QC"
"2698","20161231","2016","INDL","CP","CANADIAN PACIFIC RAILWAY LTD","CAD","19221","1277","11.698","14595","322","3101","A","28025.228","191.56","Calgary","AB"
"2703","20161231","2016","INDL","CDNAF","CANADIAN TIRE CORP  -CL A","CAD","15302.8","634.4","29.22","9565.5","262.8","11129.4","A","10050.2022","139.27","Toronto","ON"
"2735","20161231","2016","INDL","CPTP","CAPITAL PROPERTIES INC","USD","23.63","1.825","0.011","16.559","1.642","2.12","A","89.1","13.5","East Providence","RI"
"2751","20160630","2016","INDL","CAH","CARDINAL HEALTH INC","USD","34122","1338","37.3","27434","635","118342","A","25119.22","78.01","Dublin","OH"
"2771","20161231","2016","INDL","CSL","CARLISLE COS INC","USD","3965.8","215","12","1498.9","192.3","2951.9","A","7086.9045","110.29","Scottsdale","AZ"
"2787","20160630","2016","INDL","CRS","CARPENTER TECHNOLOGY CORP","USD","2794.3","-70.4","4.5","1689.4","27.9","1580.2","A","1534.538","32.93","Wyomissing","PA"
"2817","20161231","2016","INDL","CAT","CATERPILLAR INC","USD","74704","-63","95.4","61491","522","31913","A","54390.7116","92.74","Peoria","IL"
"2818","20170131","2016","INDL","CATO","CATO CORP  -CL A","USD","606.324","46.198","10.2","222.421","14.118","891.604","A","675.501","25.39","Charlotte","NC"
"2829","20161031","2016","INDL","RFIL","R F INDUSTRIES LTD","USD","25.837","-4.089","0.189","4.445","0.208","30.695","A","15.4613","1.75","San Diego","CA"
"2884","20161231","2016","INDL","CTL","CENTURYLINK INC","USD","47017","443","40","33618","397","10943","A","12996.8401","23.78","Monroe","LA"
"2940","20161231","2016","INDL","MGLN","MAGELLAN HEALTH INC","USD","2443.687","75.876","9.7","1339.198","54.442","4571.05","A","1769.6543","75.25","Scottsdale","AZ"
"2942","20160731","2016","INDL","CMD","CANTEL MEDICAL CORP","USD","694.532","46.934","2","240.162","33.559","539.207","A","2792.3506","66.95","Little Falls","NJ"
"2960","20161231","2016","INDL","CHE","CHEMED CORP","USD","880.059","108.743","14.613","355.96","60.905","1353.698","A","2596.5567","160.41","Cincinnati","OH"
"2968","20161231","2016","INDL","JPM","JPMORGAN CHASE  and  CO","USD","2490972","23212","243.355","2236782","2405","48796","A","307295.0851","86.29","New York","NY"
"2986","20161231","2016","INDL","CPK","CHESAPEAKE UTILITIES CORP","USD","1229.219","45.637","0.903","783.133","-5.308","382.735","A","1091.5528","66.95","Dover","DE"
"2991","20161231","2016","INDL","CVX","CHEVRON CORP","USD","260078","17","55.2","113356","1935","89986","A","222630.3739","117.7","San Ramon","CA"
"3007","20160630","2016","INDL","EAT","BRINKER INTL INC","USD","1472.716","197.781","58.335","1685.815","45.743","2780.896","A","2523.3181","45.53","Dallas","TX"
"3026","20161231","2016","INDL","CHD","CHURCH  and  DWIGHT INC","USD","4354.1","441.1","4.5","2376.2","188.4","2658.3","A","11222.625","44.19","Ewing","NJ"
"3028","20161231","2016","INDL","CHDN","CHURCHILL DOWNS INC","USD","2254.4","107.5","4","1569.4","32.4","1003.9","A","2482.425","150.45","Louisville","KY"
"3036","20161231","2016","INDL","CBB","CINCINNATI BELL INC","USD","1541","182.8","3.4","1662.7","1.7","897.5","A","939.9516","22.35","Cincinnati","OH"
"3093","20161130","2016","INDL","CLC","CLARCOR INC","USD","1739.092","104.78","5.773","597.579","44.151","1139.407","I","3421.5452","70.45","Franklin","TN"
"3107","20161231","2016","INDL","CLF","CLIFFS NATURAL RESOURCES INC","USD","1923.9","195.5","2.923","3254.4","0.6","1722.1","A","1960.1523","8.41","Cleveland","OH"
"3121","20160630","2016","INDL","CLX","CLOROX CO/DE","USD","4518","580","8","4221","323","4540","A","17901.4385","138.39","Oakland","CA"
"3138","20161231","2016","INDL","COKE","COCA-COLA BTLNG CONS","USD","2449.484","46.173","13.2","2086.46","-7.111","2907.946","A","1277.3467","178.85","Charlotte","NC"
"3144","20161231","2016","INDL","KO","COCA-COLA CO","USD","87270","5506","100.3","64050","1554","29953","A","177780.48","41.46","Atlanta","GA"
"3153","20161231","2016","INDL","CDE","COEUR MINING INC","USD","1318.909","56.586","2.087","550.422","17.181","465.376","A","1644.681","9.09","Chicago","IL"
"3157","20160930","2016","INDL","COHR","COHERENT INC","USD","1161.148","91.715","2.787","250.32","37.758","685.605","A","2688.775","110.54","Santa Clara","CA"
"3158","20161231","2016","INDL","COHU","COHU INC","USD","345.512","-3.071","1.8","110.043","6.808","262.144","A","373.1038","13.9","Poway","CA"
"3170","20161231","2016","INDL","CL","COLGATE-PALMOLIVE CO","USD","12123","2344","36.7","12106","932","10788","A","57790.653","65.44","New York","NY"
"3203","20160831","2016","INDL","CCF","CHASE CORP","USD","262.819","25.314","0.677","88.73","17.55","176.447","A","597.2249","64.37","Westwood","MA"
"3226","20161231","2016","INDL","CMCSA","COMCAST CORP","USD","180500","9391","159","122880","3693","53925","A","164049.0591","69.05","Philadelphia","PA"
"3231","20161231","2016","INDL","CMA","COMERICA INC","USD","72978","523","8.149","65182","106","1531","A","11940.6365","68.11","Dallas","TX"
"3238","20161231","2016","INDL","CBSH","COMMERCE BANCSHARES INC","USD","25641.424","255.359","4.877","23140.292","119.596","562.062","A","5875.6928","57.81","Kansas City","MO"
"3243","20161231","2016","INDL","C","CITIGROUP INC","USD","1792077","11953","219","1565934","4359","49473","A","164763.2566","59.43","New York","NY"
"3246","20160831","2016","INDL","CMC","COMMERCIAL METALS","USD","3130.869","55.383","8.388","1763.438","50.2","4284.657","A","1779.1507","15.52","Irving","TX"
"3278","20161231","2016","INDL","CAR","AVIS BUDGET GROUP INC","USD","17643","156","30","17422","60","5670","A","3154.48","36.68","Parsippany","NJ"
"3358","20160731","2016","INDL","CMTL","COMTECH TELECOMMUN","USD","921.196","-7.738","2.031","450.795","3.678","367.418","A","304.9885","13.07","Melville","NY"
"3369","20160630","2016","INDL","RAVE","RAVE RESTAURANT GROUP INC","USD","18.505","-8.886","0.558","9.102","0","62.448","A","41.368","4","The Colony","TX"
"3382","20161231","2016","INDL","SSTK","SHUTTERSTOCK INC","USD","501.778","22.016","0.858","215.082","19.186","426.931","A","1654.4563","47.52","New York","NY"
"3394","20161231","2016","INDL","CTWS","CONNECTICUT WATER SVC INC","USD","784.502","23.398","0.266","547.702","0.445","53.391","A","628.2008","55.85","Clinton","CT"
"3413","20161231","2016","INDL","ED","CONSOLIDATED EDISON INC","USD","48255","1252","14.96","33949","-180","8388","A","22472.4","73.68","New York","NY"
"3424","20161231","2016","INDL","BH","BIGLARI HOLDINGS INC","USD","1096.967","99.546","21.519","565.027","6.728","796.262","A","582.9824","473.2","San Antonio","TX"
"3429","20161231","2016","INDL","CTO","CONSOLIDATED TOMOKA LAND CO","USD","408.623","17.144","0.014","260.347","0.51","38.32","A","305.0282","53.42","Daytona Beach","FL"
"3439","20161231","2016","INDL","CMS","CMS ENERGY CORP","USD","21622","550","7.8","17332","32","4291","A","11620.5537","41.62","Jackson","MI"
"3469","20161231","2016","INDL","CLR","CONTINENTAL RESOURCES INC","USD","13811.776","-396.585","1.08","9509.78","-0.172","632.51","A","19301.3177","51.54","Oklahoma City","OK"
"3502","20161231","2016","INDL","CTB","COOPER TIRE  and  RUBBER CO","USD","2619.395","211.337","10.54","1489.159","131.001","2397.963","A","2059.05","38.85","Findlay","OH"
"3504","20161031","2016","INDL","COO","COOPER COMPANIES INC","USD","4475.918","-23.023","10.6","1775.883","29.376","1353.296","A","8588.1114","176.04","Pleasanton","CA"
"3505","20161231","2016","INDL","TAP","MOLSON COORS BREWING CO","USD","29341.5","2128.3","17.4","17719.8","165","4034.1","A","20913.557","97.31","Denver","CO"
"3516","20160630","2016","INDL","CBYDF","CORBY SPIRIT AND WINE LTD","CAD","228.503","21.948","0.173","57.718","5.367","98.329","A","566.2167","20.3","Toronto","ON"
"3532","20161231","2016","INDL","GLW","CORNING INC","USD","27899","3830","40.7","9939","293","6542","A","22474.02","24.27","Corning","NY"
"3533","20160930","2016","INDL","CNIG","CORNING NATURAL GAS HLDG CP","USD","107.004","3.188","0.059","67.662","0.198","14.193","A","45.3657","18.3","Corning","NY"
"3562","20161231","2016","INDL","CUZ","COUSINS PROPERTIES INC","USD","4171.607","80.104","0.279","1657.367","0","229.616","A","3347.9872","8.51","Atlanta","GA"
"3570","20160731","2016","INDL","CBRL","CRACKER BARREL OLD CTRY STOR","USD","1497.664","179.284","73","971.221","84.868","2554.064","A","3770.914","157.41","Lebanon","TN"
"3580","20161231","2016","INDL","CR","CRANE CO","USD","3428","23.9","11","2282.3","69.8","2279.4","A","4252.5558","72.12","Stamford","CT"
"3581","20161231","2016","INDL","CRD.B","CRAWFORD  and  CO","USD","735.859","47.016","9.19","576.595","16.17","1055.784","A","606.4795","12.56","Atlanta","GA"
"3592","20161231","2016","INDL","OMF","ONEMAIN HOLDINGS INC","USD","18123","270","10.1","15057","249","2042","A","2985.9775","22.14","Evansville","IN"
"3607","20161231","2016","INDL","CHMT","CHEMTURA CORP","USD","2168","81","2.5","1190","29","1343","A","2091.6","33.2","Philadelphia","PA"
"3619","20161231","2016","INDL","CCK","CROWN HOLDINGS INC","USD","9599","337","24","8931","158","6951","A","7351.3888","52.57","Philadelphia","PA"
"3639","20160930","2016","INDL","CUB","CUBIC CORP","USD","1504.679","-66.246","8.5","814.783","14.2","1378.435","A","1263.4955","46.81","San Diego","CA"
"3643","20161231","2016","INDL","CFR","CULLEN/FROST BANKERS INC","USD","30196.319","165.775","4.217","27193.791","50.427","597.864","A","5600.311","88.23","San Antonio","TX"
"3650","20161231","2016","INDL","CMI","CUMMINS INC","USD","15011","966","55.4","7837","430","15222","A","22892.225","136.67","Columbus","IN"
"3662","20161231","2016","INDL","CW","CURTISS-WRIGHT CORP","USD","3037.781","121.501","8","1746.59","54.5","1704.825","A","4345.6432","98.36","Charlotte","NC"
"3707","20161231","2016","INDL","DST","DST SYSTEMS INC","USD","2771.8","402.1","8.4","1635.3","164.5","1199.9","A","3428.8","107.15","Kansas City","MO"
"3708","20161231","2016","INDL","WEN","WENDYS CO","USD","3939.314","137.206","12.1","3411.578","77.62","934.88","A","3333.6805","13.52","Dublin","OH"
"3734","20161231","2016","INDL","DAN","DANA INC","USD","4860","541","24.9","3618","89","5214","A","2731.9432","18.98","Maumee","OH"
"3813","20170131","2016","INDL","TGT","TARGET CORP","USD","37431","2728","323","26478","1514","62224","A","35860.9389","64.48","Minneapolis","MN"
"3835","20161031","2016","INDL","DE","DEERE  and  CO","USD","57981.4","624.9","56.767","51436.6","392","22041.5","A","27794.0144","88.3","Moline","IL"
"3855","20160630","2016","INDL","DGAS","DELTA NATURAL GAS CO INC","USD","188.879","5.529","0.148","111.152","2.064","46.28","A","190.9507","26.94","Winchester","KY"
"3863","20161231","2016","INDL","DLX","DELUXE CORP","USD","2184.338","234.214","6.026","1303.368","97.309","1377.211","A","3476.3791","71.61","Shoreview","MN"
"3897","20161231","2016","INDL","DTE","DTE ENERGY CO","USD","32041","846","10","22542","-1","8194","A","17675.9448","98.51","Detroit","MI"
"3905","20160630","2016","INDL","DV","DEVRY EDUCATION GROUP INC","USD","2096.996","31.891","13.704","509.797","1.42","1555.98","A","1115.8742","17.84","Downers Grove","IL"
"3946","20161231","2016","INDL","DBD","DIEBOLD NIXDORF INC","USD","5270.3","-47","25","4245.5","83.8","3208.4","A","1889.8968","25.15","North Canton","OH"
"3962","20161231","2016","INDL","NSYS","NORTECH SYSTEMS INC","USD","55.517","0.062","0.904","33.202","0.111","113.997","A","10.6897","3.89","Maple Grove","MN"
